huh,ms,on_off,dunno,noclue,noclue
1,76136, Note_off_c,0,48,64
1,76361, Note_on_c,0,62,98
1,76428, Note_off_c,0,62,64
1,76551, Note_on_c,0,48,98
1,76635, Note_off_c,0,48,64
1,77042, Note_on_c,0,62,98
1,77111, Note_off_c,0,62,64
1,77672, Note_on_c,0,60,98
1,77720, Note_off_c,0,60,64
1,77936, Note_on_c,0,60,98
1,77976, Note_off_c,0,60,64
1,78210, Note_on_c,0,60,98
1,78248, Note_off_c,0,60,64
1,78502, Note_on_c,0,60,98
1,78544, Note_off_c,0,60,64
1,78763, Note_on_c,0,60,98
1,78809, Note_off_c,0,60,64
1,79039, Note_on_c,0,60,98
1,79088, Note_off_c,0,60,64
1,79293, Note_on_c,0,60,98
1,79350, Note_off_c,0,60,64
1,79597, Note_on_c,0,60,98
1,79650, Note_off_c,0,60,64
1,79855, Note_on_c,0,62,98
1,79916, Note_off_c,0,62,64
1,80108, Note_on_c,0,62,98
1,80171, Note_off_c,0,62,64
1,80602, Note_on_c,0,62,98
1,80661, Note_off_c,0,62,64
1,80945, Note_on_c,0,62,98
1,81007, Note_off_c,0,62,64
1,81253, Note_on_c,0,62,98
1,81314, Note_off_c,0,62,64
1,81560, Note_on_c,0,62,98
1,81637, Note_off_c,0,62,64
1,81944, Note_on_c,0,60,98
1,81994, Note_off_c,0,60,64
1,82174, Note_on_c,0,60,98
1,82213, Note_off_c,0,60,64
1,82443, Note_on_c,0,60,98
1,82481, Note_off_c,0,60,64
1,82743, Note_on_c,0,60,98
1,82782, Note_off_c,0,60,64
1,83027, Note_on_c,0,60,98
1,83066, Note_off_c,0,60,64
1,83296, Note_on_c,0,60,98
1,83342, Note_off_c,0,60,64
1,83572, Note_on_c,0,60,98
1,83626, Note_off_c,0,60,64
1,83864, Note_on_c,0,60,98
1,83894, Note_off_c,0,60,64
1,84125, Note_on_c,0,59,98
1,84179, Note_off_c,0,59,64
1,84386, Note_on_c,0,59,98
1,84440, Note_off_c,0,59,64
1,84622, Note_on_c,0,59,98
1,84678, Note_off_c,0,59,64
1,84879, Note_on_c,0,59,98
1,84939, Note_off_c,0,59,64
1,85139, Note_on_c,0,59,98
1,85200, Note_off_c,0,59,64
1,85408, Note_on_c,0,59,98
1,85469, Note_off_c,0,59,64
1,85685, Note_on_c,0,59,98
1,85739, Note_off_c,0,59,64
1,85937, Note_on_c,0,59,98
1,85987, Note_off_c,0,59,64
1,86206, Note_on_c,0,62,98
1,86227, Note_on_c,0,48,98
1,86261, Note_off_c,0,62,64
1,86291, Note_off_c,0,48,64
1,86477, Note_on_c,0,62,98
1,86515, Note_off_c,0,62,64
1,86738, Note_on_c,0,48,98
1,86744, Note_on_c,0,62,98
1,86805, Note_off_c,0,62,64
1,86835, Note_off_c,0,48,64
1,87020, Note_on_c,0,62,98
1,87074, Note_off_c,0,62,64
1,87275, Note_on_c,0,62,98
1,87281, Note_on_c,0,48,98
1,87327, Note_off_c,0,62,64
1,87366, Note_off_c,0,48,64
1,87550, Note_on_c,0,62,98
1,87619, Note_off_c,0,62,64
1,87811, Note_on_c,0,62,98
1,87831, Note_on_c,0,48,98
1,87873, Note_off_c,0,62,64
1,87895, Note_off_c,0,48,64
1,88080, Note_on_c,0,62,98
1,88134, Note_off_c,0,62,64
1,88336, Note_on_c,0,48,98
1,88342, Note_on_c,0,62,98
1,88403, Note_off_c,0,62,64
1,88418, Note_off_c,0,48,64
1,88604, Note_on_c,0,62,98
1,88656, Note_off_c,0,62,64
1,88876, Note_on_c,0,48,98
1,88878, Note_on_c,0,62,98
1,88940, Note_off_c,0,62,64
1,88963, Note_off_c,0,48,64
1,89132, Note_on_c,0,62,98
1,89188, Note_off_c,0,62,64
1,89394, Note_on_c,0,48,98
1,89401, Note_on_c,0,62,98
1,89457, Note_off_c,0,62,64
1,89509, Note_off_c,0,48,64
1,89670, Note_on_c,0,62,98
